Date,Open,High,Low,Close,UpperBand,LowerBand,MiddleBand
1707278400000,116.81,117.35,114.08,117.01,119.96483352451558909090909091,100.51334829366622909090909091,110.23909090909090909090909091
1707279300000,117.0,119.2,116.4,118.12,120.81546964039962545454545455,100.84543945050946545454545455,110.83045454545454545454545455
1707280200000,118.12,119.2,116.75,118.07,121.34588791432183636363636364,101.66683935840543636363636364,111.50636363636363636363636364
1707281100000,118.07,118.72,116.21,118.0,121.74219722076389272727272727,102.56325732469065272727272727,112.15272727272727272727272727
1707282000000,117.99,119.94,117.28,119.58,122.36540040803814909090909091,103.25278141014366909090909091,112.80909090909090909090909091
1707282900000,119.58,132.0,119.24,123.33,123.56023097212823090909090909,103.69158720968995090909090909,113.62590909090909090909090909
1707283800000,123.31,126.1,119.81,120.8,124.15033685293496181818181818,104.38329951070140181818181818,114.26681818181818181818181818
1707284700000,120.94,122.85,120.15,120.4,124.54633359175746909090909091,105.20184822642434909090909091,114.87409090909090909090909091
1707285600000,120.39,125.22,120.16,124.05,125.16631490209938909090909091,106.29186691608242909090909091,115.72909090909090909090909091
1707286500000,124.06,126.95,123.73,125.66,125.81368673948517818181818182,107.49267689687845818181818182,116.65318181818181818181818182
1707287400000,125.6,128.91,125.33,128.15,127.05791785709518,108.11208214290482,117.585
1707288300000,127.96,129.3,125.58,128.1,128.09320368842414181818181818,108.83043267521222181818181818,118.46181818181818181818181818
1707289200000,128.1,132.34,127.57,130.46,129.72110087374137454545454545,108.87799003534953454545454545,119.29954545454545454545454545
1707290100000,130.42,131.99,129.65,131.59,131.33219373716010727272727273,109.00235171738534727272727273,120.16727272727272727272727273
1707291000000,131.63,131.63,129.91,130.21,132.30420817280263454545454545,109.69488273628827454545454545,120.99954545454545454545454545
1707291900000,130.25,130.69,125.9,127.99,132.67935142894396909090909091,110.76883038923784909090909091,121.72409090909090909090909091
1707292800000,127.98,130.89,126.0,127.1,132.93124078737237818181818182,111.72512284899125818181818182,122.32818181818181818181818182
1707293700000,127.18,129.39,126.96,128.05,133.36344810540539818181818182,112.38291553095823818181818182,122.87318181818181818181818182
1707294600000,128.04,128.2,125.13,125.76,133.42802588876548545454545455,113.20288320214360545454545455,123.31545454545454545454545455
1707295500000,125.81,127.35,125.74,126.37,133.58517214817268727272727273,113.83937330637276727272727273,123.71227272727272727272727273
1707296400000,126.45,127.19,122.81,123.61,133.34390668409120727272727273,114.77063877045424727272727273,124.05727272727272727272727273
1707297300000,123.7,124.01,121.97,123.03,133.09451072176741818181818182,115.58185291459621818181818182,124.33818181818181818181818182
1707298200000,123.04,124.78,121.39,123.08,132.79287868121750909090909091,116.43530313696430909090909091,124.61409090909090909090909091
1707299100000,123.06,123.55,122.0,122.64,132.55029039635875454545454545,117.08880051273215454545454545,124.81954545454545454545454545
1707300000000,122.66,124.72,122.37,124.38,132.26090839782831636363636364,117.95181887489895636363636364,125.10636363636363636363636364
1707300900000,124.4,129.46,124.33,126.54,131.95802531456099454545454545,119.03106559452991454545454545,125.49454545454545454545454545
1707301800000,126.51,128.2,125.66,128.18,131.89513076505762545454545455,119.87577832585146545454545455,125.88545454545454545454545455
1707302700000,128.17,129.0,126.9,128.56,132.12346480048927818181818182,120.12289883587435818181818182,126.12318181818181818181818182
1707303600000,128.55,129.5,127.63,129.47,132.19765101755068727272727273,120.83689443699476727272727273,126.51727272727272727272727273
1707304500000,129.43,129.56,126.78,127.44,131.85803754339814727272727273,121.81650791114730727272727273,126.83727272727272727272727273
1707305400000,127.44,128.8,126.35,128.74,131.97711846289116545454545455,122.12379062801792545454545455,127.05045454545454545454545455
1707306300000,128.74,130.08,128.23,128.59,132.11116034247030363636363636,122.25611238480242363636363636,127.18363636363636363636363636
1707307200000,128.66,129.72,127.72,129.47,132.24830889112884363636363636,122.23896383614388363636363636,127.24363636363636363636363636
1707308100000,129.46,130.79,127.95,129.54,132.39387716218644909090909091,122.22430465599536909090909091,127.30909090909090909090909091
1707309000000,129.47,129.7,128.41,129.57,132.26591306001462363636363636,122.27135966725810363636363636,127.26863636363636363636363636
1707309900000,129.6,130.54,127.11,127.47,131.71219036583075636363636364,122.45053690689651636363636364,127.08136363636363636363636364
1707310800000,127.42,127.83,126.38,127.06,131.36344251461597818181818182,122.51292112174765818181818182,126.93818181818181818181818182
1707311700000,126.97,127.55,126.38,127.23,131.30732715227984363636363636,122.49994557499288363636363636,126.90363636363636363636363636
1707312600000,127.22,127.61,124.95,125.78,131.27089714390772363636363636,122.41637558336500363636363636,126.84363636363636363636363636
1707313500000,125.61,129.15,125.37,127.9,131.25708302934870181818181818,122.41655333428766181818181818,126.83681818181818181818181818
1707314400000,127.95,129.13,127.79,129.0,131.46649553603718909090909091,122.50168628214462909090909091,126.98409090909090909090909091
1707315300000,129.02,129.47,128.42,129.18,131.67634000826750181818181818,122.54729635536886181818181818,127.11181818181818181818181818
1707316200000,129.18,129.25,128.5,128.66,131.68075318477855636363636364,123.00197408794871636363636364,127.34136363636363636363636364
1707317100000,128.59,128.83,127.64,128.2,131.49603683913563636363636364,123.65669043359163636363636364,127.57636363636363636363636364
